,review_title,review_star_rating
0,Value of money,5
1,Value for money,4
2,Not the best,3
3,Lenovo,5
4,Don't bother buying this worthless phone,1
5,Lost this wonderful Phone.. Missing it every day since last 3 days,5
6,Cheap price with 3GB RAM and 32 GB memory,4
7,Waste of money. Please don't go for this Crap.,2
8,Full of advertising,3
9,AVERAGE MOBILE.,2
10,repaired/returned/Defected device delivered,1
11,Decent Smartphone,3
12,Missing headset along with product.,3
13,Headset is not available inside the box,4
14,Dad,3
15,Headphone not given,4
16,Good product at this price,4
17,You lie to me,3
18,Everything is fine,4
19,Isn't worth,3
20,.,4
21,Fair enough.,4
22,Super..,4
23,No earphone supplied.,4
24,Value for money,4
25,Value for money.,4
26,"Average, with this budget it's good",3
27,Battery,3
28,Headset was missing in the packing. It was mentioned while buying,3
29,Nice phone,4
30,Not good,4
31,NOT A GOOD CHOICE IF YOU  NEED SOME SPEED,3
32,Size smaller than expected,4
33,50-50 for me,3
34,Overall good,4
35,OK,3
36,Good,4
37,Very good product,4
38,Worth for price,4
39,Paisa vasul,4
40,If you can't buy anyone,3
41,Nice,4
42,Standard phone,4
43,Good as money value,4
44,Nice one,4
45,Nice phone,4
46,Paisa vasool,4
47,Budget mobile,3
48,Super budget mobile,3
49,Only 1 SIM volte,4
50,Review,4
51,Value for money,3
52,Good,4
53,Ok,4
54,Light sensure,3
55,best for this price,4
56,workes slowly,3
57,Trust worthy,4
58,Ok,4
59,"Battery is good,but processor speed average",3
60,Good,4
61,Super,4
62,Good,3
63,Good for price paid,4
64,Budget friendly,5
65,Good,4
66,Not for bad,4
67,Headphones lacking,4
68,Excellent,4
69,Good,4
70,Nice,4
71,It's nice,4
72,Value,4
73,Great Product...,4
74,Good,3
75,Good,4
76,Not Worth it!,1
77,Low cost,4
78,Thank you Lenovo,3
79,Value for money,4
80,Ok,4
81,Average quality,3
82,good deal.,4
83,Good,4
84,Battery Gets over heated,3
85,Cheap and best,4
86,Value for money..,5
87,Not Bad Deal,4
88,Average,4
89,Good Phone,5
90,Super,3
91,Good,3
92,Very nice phone,4
93,Value product,4
94,Nice,4
95,Lenovo A5,3
96,Nice,4
97,Very poor,3
98,Good,4
99,Good,3
100,GOOD QUALITY & GOOD PRICE PHONE,5
101,Good amazing,4
102,Lenovo K8 plus,5
103,"after only 6 months ,battery draining very fast.",3
104,Good,5
105,Defective product received/sound system/charging point issues.,1
106,Cost effective,4
107,Good,5
108,Great Phone!!!,4
109,Hangs a lot otherwise good,3
110,In my view best phone having battery backup.,4
111,Wow ✌️✌️,4
112,Phone for daily uses..,4
113,Good,3
114,Value for money,4
115,A Value buying.,4
116,Best,4
117,Good one,4
118,Video call poor,3
119,Very Good Mobile.,4
120,3 * phone now a days,3
121,Great value for money,4
122,Pls provide me invoice for this product,4
123,Valuable,4
124,"Durable, Value for money, PUBG supported",5
125,Display problem after 6 months,1
126,The Phone is very good.,4
127,Not satisfied with features,2
128,Great,4
129,Good mobile in this price range,4
130,Budget phone with good features,4
131,Satisfactory,4
132,Minimum price with  maximum features and specifications,4
133,Budget smart phone,4
134,Good phone,4
135,Good product,4
136,nice phone,3
137,Only sound was good,3
138,Lenovo k8 plus average phone,4
139,Solid phone for 8K,4
140,Excellent phone according to cost,4
141,Best 7500rs,4
142,"Lack of its own gallery, music",4
143,Simple and decent phone,5
144,Great for its price,5
145,Overall nice product!,4
146,Santosh talwar,4
147,It has not USB Data cable,4
148,Frauds in Amazon service,1
149,Excellent audio quality,4
150,Touch screen,3
151,Good product,4
152,Not much good,3
153,Nice phone,5
154,Handset not provided with Box,4
155,Mobile,3
156,Ok product,4
157,YOU MUST NOT BUY THIS PHONE,1
158,Battery is very good,4
159,Best but,3
160,Nice product,4
161,"picture quality, battery life etc.",4
162,Delay in processing,3
163,Please don't buy,3
164,Good,4
165,Reliable Lenevo k8 plus,4
166,Good,4
167,Awsum Phone !!!!,5
168,Good but there are many latest mobiles in market,3
169,Phone stopped working within 5 months,1
170,K8 0pus moble is so good,5
171,Good,4
172,Four Stars,4
173,Good product,4
174,Lenovo k8 plus,4
175,Very good,4
176,Lenovo,4
177,Good,4
178,Lenovo k8 plus,3
179,Good budget,4
180,Average,3
181,Working fine so far,4
182,Lenovo is good,4
183,Volume Issue,3
184,Camera quality average,4
185,Nice product,4
186,The worst experience ever with Amazon!!,1
187,Best opportunity. Don't miss. Buy this or will not get elsewhere.Awsome phone.,5
188,Not value for money,3
189,nice product,4
